userid,dev,log_time,log_date,seq_id,join_type,group_id,start_date,end_date,exp_userid,exp_dev,next_group
78347926,d_6503332400475,2014/11/4 9:00,2014/11/4,87.0,d,1803290000042,2014/11/4,2014/11/4,78345376,d_6503332400475,1803290000044
78066372,d_6503332400475,2014/10/31 17:57,2014/10/31,83.0,d,1803290000044,2014/11/4,2015/3/7,78109489,d_62450700849277,1803290000058
78109489,d_6503332400475,2014/11/1 6:27,2014/11/1,84.0,d,1803290000044,2014/11/4,2015/3/7,78109489,d_62450700849277,1803290000058
78323222,d_6503332400475,2014/11/3 20:34,2014/11/3,85.0,d,1803290000044,2014/11/4,2015/3/7,78109489,d_62450700849277,1803290000058
78345376,d_2349315354688,2014/11/4 7:51,2014/11/4,86.0,d,1803290000044,2014/11/4,2015/3/7,78109489,d_62450700849277,1803290000058
78347926,d_6503332400475,2014/11/4 9:00,2014/11/4,87.0,d,1803290000044,2014/11/4,2015/3/7,78109489,d_62450700849277,1803290000058
77984762,d_9673469206529,2014/11/5 0:01,2014/11/5,89.0,d,1803290000045,2014/11/5,2099-12-31,,,
78672179,d_5906522770463,2014/11/8 12:16,2014/11/8,90.0,d,1803290000046,2014/11/8,2015/3/30,78672179,d_48385372850406,1803290000066
78906765,d_3120686581180,2014/11/10 22:07,2014/11/10,91.0,d,1803290000035,2014/11/10,2099-12-31,,,
64334187,p_7b7b389d9c1203abf959484ccbdc2a01,2014/9/21 11:57,2014/9/21,61.0,p,1803290000047,2014/11/14,2099-12-31,,,
62949302,p_644b478c94cae6e1bd48f127167a88ba,2014/9/7 20:53,2014/9/7,58.0,p,1803290000047,2014/11/14,2099-12-31,,,
64776035,d_4164999492127,2014/9/25 13:00,2014/9/25,62.0,d,1803290000047,2014/11/14,2099-12-31,,,
62960708,d_4164999492127,2014/9/29 15:28,2014/9/29,63.0,d,1803290000047,2014/11/14,2099-12-31,,,
79315322,d_6239908081263,2014/11/14 22:11,2014/11/14,95.0,d,1803290000048,2014/11/14,2015/7/1,79315322,d_42443701110878,1803290000134
79488331,d_3823552705151,2014/11/16 20:13,2014/11/16,96.0,d,1803290000049,2014/11/16,2099-12-31,,,
80246906,d_8839395769228,2014/11/30 9:17,2014/11/30,101.0,d,1803290000037,2014/11/30,2099-12-31,,,
80396170,d_3120686581180,2014/12/3 16:47,2014/12/3,105.0,d,1803290000035,2014/12/3,2099-12-31,,,
80434037,d_9944279079464,2014/12/4 15:34,2014/12/4,106.0,d,1803290000050,2014/12/4,2014/12/6,2371737,d_9944279079464,1803290000051
2371737,p_432b7e36865c61e59f60402d777a8caf,2013/3/12 9:49,2013/3/12,4.0,p,1803290000051,2014/12/6,2015/3/23,2371737,d_68806425194668,1803290000064
80434037,d_9944279079464,2014/12/4 15:34,2014/12/4,106.0,d,1803290000051,2014/12/6,2015/3/23,2371737,d_68806425194668,1803290000064
81141921,d_17820527482635,2015/1/5 5:45,2015/1/5,116.0,d,1803290000044,2015/1/5,2015/3/7,78109489,d_62450700849277,1803290000058
82112498,d_33710146674393,2015/1/12 17:34,2015/1/12,117.0,d,1803290000052,2015/1/12,2099-12-31,,,
81242050,p_a22573219d4c99a66487bf0e0e905cee,2015/1/14 11:55,2015/1/14,118.0,p,1803290000053,2015/1/14,2015/6/20,81242050,d_61280704594379,1803290000129
82472265,d_477881737062,2015/1/19 14:40,2015/1/19,119.0,d,1803290000022,2015/1/19,2099-12-31,,,
82494941,d_39874442911564,2015/1/19 22:39,2015/1/19,120.0,d,1803290000054,2015/1/19,2099-12-31,,,
82616032,d_46890741156243,2015/1/22 12:28,2015/1/22,122.0,d,1803290000055,2015/1/22,2015/1/30,35120521,d_46890741156243,1803290000056
22568784,p_e6b987345cbfa6575625ea101d7c9ac6,2013/12/3 13:08,2013/12/3,9.0,p,1803290000056,2015/1/30,2015/3/15,85266977,d_69321562619260,1803290000062
35120521,d_226716351344,2014/5/4 21:40,2014/5/4,27.0,d,1803290000056,2015/1/30,2015/3/15,85266977,d_69321562619260,1803290000062
34545273,p_042709aed0ef6eb4784c22469ab872bb,2014/5/6 21:31,2014/5/6,28.0,p,1803290000056,2015/1/30,2015/3/15,85266977,d_69321562619260,1803290000062
66485465,d_4401401718018,2014/10/11 16:01,2014/10/11,67.0,d,1803290000056,2015/1/30,2015/3/15,85266977,d_69321562619260,1803290000062
82616032,d_46890741156243,2015/1/22 12:28,2015/1/22,122.0,d,1803290000056,2015/1/30,2015/3/15,85266977,d_69321562619260,1803290000062
84108649,d_64767956703777,2015/2/26 21:53,2015/2/26,132.0,d,1803290000057,2015/2/26,2015/3/7,78109489,d_62450700849277,1803290000058
84550270,d_64767956703777,2015/2/26 21:54,2015/2/26,133.0,d,1803290000057,2015/2/26,2015/3/7,78109489,d_62450700849277,1803290000058
77342705,d_7423274670381,2015/3/5 15:51,2015/3/5,136.0,d,1803290000040,2015/3/5,2099-12-31,,,
78066372,d_6503332400475,2014/10/31 17:57,2014/10/31,83.0,d,1803290000058,2015/3/7,2099-12-31,,,
78109489,d_6503332400475,2014/11/1 6:27,2014/11/1,84.0,d,1803290000058,2015/3/7,2099-12-31,,,
78323222,d_6503332400475,2014/11/3 20:34,2014/11/3,85.0,d,1803290000058,2015/3/7,2099-12-31,,,
78345376,d_2349315354688,2014/11/4 7:51,2014/11/4,86.0,d,1803290000058,2015/3/7,2099-12-31,,,
78347926,d_6503332400475,2014/11/4 9:00,2014/11/4,87.0,d,1803290000058,2015/3/7,2099-12-31,,,
81141921,d_17820527482635,2015/1/5 5:45,2015/1/5,116.0,d,1803290000058,2015/3/7,2099-12-31,,,
84108649,d_64767956703777,2015/2/26 21:53,2015/2/26,132.0,d,1803290000058,2015/3/7,2099-12-31,,,
84550270,d_64767956703777,2015/2/26 21:54,2015/2/26,133.0,d,1803290000058,2015/3/7,2099-12-31,,,
85124672,d_64219460653716,2015/3/12 16:48,2015/3/12,142.0,d,1803290000059,2015/3/12,2015/5/12,88682292,d_64753381607327,1803290000095
85221378,d_68806425194668,2015/3/14 14:04,2015/3/14,145.0,d,1803290000060,2015/3/14,2015/3/23,2371737,d_68806425194668,1803290000064
85266977,d_66300952712930,2015/3/15 12:16,2015/3/15,146.0,d,1803290000061,2015/3/15,2015/3/15,85266977,d_69321562619260,1803290000062
